,[0:0],[0:1],[0:2],[1:0],[1:1],[1:2],[2:0],[2:1],[2:2],Move
2014,Y,X,Y,Y,X,X,X,Y,_,8
2015,Y,_,_,_,_,_,_,_,_,4
2016,_,Y,X,_,Y,Y,_,X,X,3
2017,X,Y,_,_,Y,_,Y,X,_,2
2018,X,X,Y,_,Y,_,_,_,_,6
2019,_,_,_,_,_,_,Y,_,_,0
2020,Y,_,Y,_,X,_,X,_,_,1
2021,Y,_,X,_,X,_,Y,Y,_,3
2022,Y,_,X,_,Y,X,_,_,_,8
2023,Y,_,_,_,_,_,_,_,_,4
2024,Y,_,X,X,X,Y,Y,_,_,1
2025,X,X,Y,Y,Y,X,X,Y,_,8
2026,Y,X,Y,X,X,Y,_,Y,_,8
2027,_,_,_,_,Y,_,_,_,X,2
2028,_,_,_,_,Y,_,_,_,_,0
2029,X,X,Y,Y,Y,_,X,_,_,5
2030,X,_,_,_,_,_,Y,_,Y,2
2031,_,_,_,_,Y,_,_,_,_,0
2032,Y,_,_,_,_,_,X,_,_,4
2033,X,_,_,_,Y,_,_,_,_,2
2034,Y,_,_,_,_,_,_,_,_,4
2035,_,_,_,_,Y,_,_,_,_,0
2036,X,Y,_,_,Y,_,_,_,_,7
2037,X,_,Y,_,_,_,_,_,Y,6
2038,Y,X,Y,Y,X,_,X,Y,_,5
2039,X,_,Y,_,Y,_,_,_,_,6
2040,Y,Y,_,X,Y,_,X,_,X,2
2041,_,_,_,_,_,_,_,_,_,0
2042,Y,Y,X,_,X,_,Y,_,_,3
2043,X,_,_,X,Y,_,Y,_,_,2
2044,X,_,_,_,Y,_,_,_,_,2
2045,X,_,_,_,Y,_,Y,_,_,2
2046,_,_,_,_,_,_,_,_,_,0
2047,X,_,Y,Y,X,X,Y,_,Y,7
2048,_,_,_,_,_,_,_,_,_,0
2049,_,X,_,_,Y,_,_,_,_,0
2050,X,Y,_,_,X,_,Y,_,Y,5
2051,_,_,_,_,_,_,_,_,_,0
2052,_,_,_,_,_,_,Y,_,_,0
2053,X,_,_,_,Y,Y,_,_,_,3
2054,Y,_,_,_,_,_,_,_,_,4
2055,_,_,_,_,Y,_,X,_,_,0
2056,Y,X,Y,X,X,Y,_,Y,_,8
2057,X,Y,X,X,Y,_,Y,X,Y,5
2058,_,Y,_,Y,X,_,_,_,_,0
2059,Y,_,X,X,X,Y,Y,_,_,1
2060,Y,Y,_,X,X,_,Y,_,_,2
2061,X,_,Y,Y,Y,_,X,_,_,5
2062,Y,_,_,_,_,_,X,_,_,4
2063,X,Y,X,Y,_,_,_,_,Y,4
2064,X,X,Y,_,Y,_,_,_,_,6
2065,Y,_,_,X,X,Y,Y,_,_,7
2066,_,_,_,_,_,_,_,_,_,0
2067,_,_,_,_,_,_,_,_,_,0
2068,_,X,_,_,Y,_,_,_,_,0
2069,_,_,_,_,_,_,_,_,_,0
2070,X,X,Y,_,Y,_,_,_,_,6
2071,Y,X,_,_,X,_,_,Y,_,6
2072,X,_,Y,Y,Y,_,X,_,_,5
2073,_,_,_,_,_,_,_,_,_,0
2074,_,_,_,_,_,_,_,_,_,0
2075,X,Y,X,X,Y,Y,Y,_,_,7
2076,_,_,_,_,_,_,_,_,_,0
2077,_,X,_,_,Y,_,_,_,_,0
2078,Y,_,Y,Y,X,_,X,_,_,1
2079,Y,X,Y,_,X,Y,_,_,_,7
2080,_,_,_,_,_,_,_,_,_,0
2081,X,Y,X,_,Y,_,Y,_,_,7
2082,X,Y,_,_,Y,_,_,_,_,7
2083,_,_,_,_,_,_,_,_,_,0
2084,Y,_,_,X,Y,_,X,_,_,8
2085,Y,Y,_,_,X,_,_,_,_,2
2086,X,X,Y,Y,Y,X,X,_,Y,7
2087,X,Y,X,X,Y,_,Y,X,Y,5
2088,Y,_,_,_,_,_,_,X,_,4
2089,_,_,_,_,_,_,_,_,_,0
2090,X,Y,X,X,Y,_,Y,_,_,7
2091,X,_,_,Y,Y,_,X,_,_,1
2092,_,_,_,_,Y,_,_,_,X,2
2093,Y,_,_,_,_,_,_,_,_,4
2094,_,_,Y,_,_,_,_,_,_,0
2095,X,_,_,Y,Y,_,_,_,_,5
2096,_,_,_,_,_,_,_,_,_,0
2097,_,_,_,_,_,_,_,_,_,0
2098,X,_,_,_,Y,_,Y,_,_,2
2099,Y,_,_,_,X,_,_,_,_,2
2100,_,_,Y,_,_,_,_,_,_,0
2101,Y,X,X,X,X,Y,Y,Y,_,8
2102,Y,_,X,_,X,_,Y,_,_,3
2103,_,_,_,_,X,_,Y,_,Y,3
2104,X,Y,X,_,Y,_,Y,_,_,7
2105,Y,X,_,X,X,Y,Y,Y,_,8
2106,X,Y,_,Y,Y,X,X,_,_,7
2107,Y,X,_,X,Y,_,Y,_,X,2
2108,Y,X,X,Y,Y,_,_,_,X,5
2109,Y,_,_,_,_,_,_,_,_,4
2110,Y,X,Y,Y,X,X,X,Y,_,8
2111,Y,_,Y,X,X,_,_,_,_,1
2112,X,_,_,_,Y,_,_,_,_,2
2113,X,Y,X,Y,Y,_,Y,X,_,5
2114,_,_,_,_,_,_,Y,_,_,0
2115,_,_,_,_,_,_,_,_,_,0
2116,_,_,Y,Y,X,_,_,_,_,0
2117,X,_,_,Y,Y,_,X,_,_,1
2118,_,_,_,_,_,Y,_,_,_,0
2119,_,Y,_,_,_,_,_,_,_,4
2120,Y,_,_,_,X,_,Y,_,_,3
2121,Y,_,_,X,X,Y,_,_,_,1
2122,_,_,X,_,Y,_,_,_,_,0
2123,_,_,_,_,_,_,_,_,_,0
2124,Y,X,_,_,Y,_,X,_,_,8
2125,Y,X,Y,X,X,Y,X,Y,_,8
2126,Y,X,Y,Y,X,_,_,_,_,6
2127,Y,_,_,X,X,Y,_,_,_,1
2128,_,_,_,_,_,_,_,_,_,0
2129,Y,_,X,_,Y,_,X,Y,X,1
2130,Y,X,_,_,Y,_,X,_,_,8
2131,X,Y,X,X,Y,Y,Y,_,_,7
2132,Y,Y,_,X,X,_,Y,_,_,2
2133,Y,_,X,_,_,_,_,_,_,4
2134,Y,Y,_,_,X,_,_,_,_,2
2135,X,Y,_,_,Y,_,_,_,_,7
2136,Y,X,Y,_,X,_,_,Y,_,3
2137,Y,_,_,_,X,_,Y,_,_,3
2138,Y,_,Y,_,X,_,_,_,_,1
2139,X,_,_,_,_,_,Y,_,Y,2
2140,Y,X,X,X,X,Y,Y,Y,_,8
2141,Y,X,_,_,X,_,_,Y,_,6
2142,_,_,_,_,_,_,_,_,_,0
2143,_,_,_,_,_,_,Y,_,_,0
2144,X,Y,_,_,Y,_,Y,X,_,2
2145,_,_,_,_,_,_,_,_,_,0
2146,X,_,Y,Y,Y,_,X,_,_,5
2147,Y,Y,_,X,X,_,Y,_,_,2
2148,Y,_,_,_,X,_,Y,_,_,3
2149,X,_,_,_,Y,_,_,_,_,2
2150,X,Y,X,_,Y,_,Y,_,_,7
2151,Y,_,X,_,X,_,Y,_,_,3
2152,X,_,_,_,Y,_,Y,_,_,2
2153,Y,X,Y,Y,X,X,X,Y,_,8
2154,Y,_,_,X,X,Y,_,_,_,1
2155,Y,_,X,X,X,Y,Y,_,_,1
2156,_,_,_,_,Y,_,_,_,_,0
2157,X,_,_,_,Y,_,_,_,_,2
2158,Y,X,Y,_,X,_,X,Y,_,5
2159,Y,X,Y,X,X,Y,_,Y,_,8
2160,Y,X,_,X,X,Y,Y,_,_,7
2161,X,Y,X,X,Y,Y,Y,X,_,8
2162,_,_,_,_,_,_,_,_,_,0
2163,Y,Y,_,_,X,_,_,_,_,2
2164,Y,X,Y,Y,X,_,X,Y,_,5
2165,Y,Y,_,_,X,_,_,_,_,2
2166,X,Y,_,_,Y,_,_,_,_,7
2167,_,_,Y,_,_,_,_,_,_,0
2168,X,_,_,_,Y,_,_,_,_,2
2169,X,X,Y,Y,Y,X,X,Y,_,8
2170,X,X,Y,Y,Y,X,X,_,Y,7
2171,Y,Y,_,X,X,_,Y,_,_,2
2172,_,_,_,_,Y,_,_,_,_,0
2173,Y,X,Y,Y,X,X,X,Y,_,8
2174,_,_,_,_,_,_,_,_,_,0
2175,_,_,_,_,Y,_,_,_,X,2
2176,Y,_,_,_,_,_,X,_,_,4
2177,_,_,_,_,_,_,_,_,_,0
2178,_,_,_,_,_,_,_,_,_,0
2179,_,_,_,_,_,_,_,_,_,0
2180,Y,X,Y,Y,X,_,_,_,_,6
2181,Y,_,X,_,_,_,_,_,_,4
2182,X,_,_,_,Y,_,Y,_,_,2
2183,Y,_,_,_,_,_,_,_,_,4
2184,Y,_,_,_,X,_,Y,_,_,3
2185,X,Y,_,Y,Y,X,Y,X,_,2
2186,_,_,_,_,Y,_,_,_,_,0
2187,X,_,Y,Y,Y,_,X,_,_,5
2188,Y,_,_,_,X,_,_,_,_,2
2189,X,Y,X,_,Y,_,_,_,_,3
2190,Y,_,_,_,_,_,_,_,_,4
2191,X,_,Y,Y,X,_,_,_,Y,7
2192,Y,X,_,X,Y,_,Y,_,X,2
2193,_,_,_,_,Y,_,_,_,_,0
2194,Y,_,_,X,X,Y,Y,_,_,7
2195,X,Y,X,_,Y,Y,_,X,_,3
2196,Y,_,_,_,X,_,Y,_,_,3
2197,X,Y,Y,Y,Y,X,X,_,_,7
2198,_,_,_,X,Y,_,_,_,_,0
2199,_,_,_,_,_,_,_,_,_,0
2200,X,Y,_,Y,X,X,Y,_,Y,7
2201,_,_,_,_,_,_,_,_,_,0
2202,X,_,_,_,Y,_,_,_,_,2
2203,X,Y,X,Y,Y,_,Y,X,_,5
2204,Y,_,X,_,X,_,Y,_,_,3
2205,_,X,_,_,Y,_,_,_,_,0
2206,X,_,Y,_,Y,_,_,_,X,6
2207,_,Y,X,_,Y,_,_,_,X,7
2208,_,_,X,_,Y,_,_,_,_,0
2209,X,Y,X,_,Y,_,_,_,_,3
2210,X,_,_,X,Y,_,Y,_,_,2
2211,_,_,_,X,X,Y,Y,_,Y,7
2212,X,_,_,X,Y,_,Y,_,_,2
2213,Y,_,X,_,X,_,Y,_,_,3
2214,Y,_,_,_,X,_,_,_,_,2
2215,X,_,_,Y,Y,_,_,_,_,5
2216,X,_,_,_,Y,_,_,_,_,2
2217,X,Y,X,Y,Y,_,Y,X,_,5
2218,X,Y,_,Y,Y,X,_,_,_,7
2219,Y,X,Y,Y,X,X,X,Y,_,8
2220,_,_,_,_,_,Y,_,_,_,0
2221,X,Y,X,_,Y,_,Y,_,_,7
2222,X,_,Y,Y,Y,_,X,_,_,5
2223,Y,_,Y,_,X,_,X,_,_,1
2224,X,Y,X,_,Y,_,Y,_,_,7
2225,_,_,_,_,_,_,_,_,_,0
2226,Y,X,Y,Y,X,X,X,Y,_,8
2227,_,_,_,_,Y,_,_,_,_,0
2228,X,Y,Y,Y,Y,X,_,X,_,6
2229,X,Y,_,Y,Y,X,Y,X,_,2
2230,Y,_,_,_,X,_,Y,_,_,3
2231,_,_,_,_,_,_,_,_,_,0
2232,Y,X,X,X,X,Y,Y,Y,_,8
2233,X,Y,X,X,Y,Y,Y,_,_,7
2234,X,_,_,_,Y,_,_,_,_,2
2235,Y,X,Y,Y,X,_,_,_,_,6
2236,X,_,Y,_,X,_,Y,_,Y,5
2237,X,Y,X,X,Y,Y,Y,X,_,8
2238,X,Y,X,_,Y,_,_,_,_,3
2239,X,X,Y,Y,Y,X,X,Y,_,8
2240,X,Y,X,_,Y,X,Y,X,Y,3
2241,Y,X,Y,Y,X,X,X,Y,_,8
2242,X,_,_,Y,Y,_,X,_,_,1
2243,_,_,_,_,_,_,_,_,_,0
2244,X,_,_,_,Y,_,_,_,_,2
2245,Y,_,X,_,X,_,Y,_,_,3
2246,Y,X,Y,X,X,Y,_,Y,_,8
2247,X,_,_,_,Y,_,_,_,_,2
2248,_,_,_,_,_,_,_,_,_,0
2249,Y,X,Y,X,X,Y,_,Y,_,8
2250,Y,_,_,_,_,_,_,_,_,4
2251,X,Y,X,X,Y,Y,Y,X,_,8
2252,X,Y,X,_,Y,_,Y,_,_,7
2253,X,_,_,Y,Y,_,X,_,_,1
2254,_,Y,_,X,Y,_,_,_,X,6
2255,X,_,_,_,Y,_,_,_,_,2
2256,X,_,Y,_,_,_,Y,_,_,4
2257,Y,_,_,_,X,_,Y,_,_,3
2258,X,Y,_,_,Y,_,_,_,_,7
2259,X,Y,X,Y,Y,X,_,X,Y,6
2260,Y,_,X,_,Y,Y,X,_,X,3
2261,_,_,_,_,_,_,_,_,_,0
2262,X,Y,X,_,Y,_,Y,_,_,7
2263,X,Y,X,Y,Y,X,_,X,Y,6
2264,X,Y,X,Y,Y,_,Y,X,_,5
2265,Y,X,Y,Y,X,_,X,Y,_,5
2266,Y,X,Y,Y,X,X,_,_,_,6
2267,X,Y,_,Y,X,_,_,_,Y,6
2268,Y,_,_,Y,X,_,_,_,_,6
2269,X,Y,X,Y,Y,_,_,X,_,5
2270,Y,_,_,_,_,_,X,_,_,4
2271,Y,_,_,_,X,_,_,_,_,2
2272,Y,_,Y,_,X,_,X,_,_,1
2273,Y,_,_,_,_,_,_,_,_,4
2274,X,_,_,Y,Y,X,X,Y,_,1
2275,X,_,Y,Y,X,_,_,_,Y,7
2276,Y,_,_,_,_,_,Y,X,X,3
2277,X,Y,Y,Y,Y,X,X,_,_,7
2278,X,_,_,Y,Y,_,X,_,_,1
2279,X,_,_,_,Y,_,_,_,_,2
2280,_,_,_,_,_,_,_,_,_,0
2281,X,Y,X,_,Y,_,_,_,_,3
2282,X,_,_,_,Y,_,_,_,_,2
2283,_,_,Y,X,X,_,_,Y,Y,0
2284,X,Y,Y,Y,Y,X,X,_,_,7
2285,Y,_,X,_,X,_,Y,_,_,3
2286,Y,X,Y,_,X,_,X,Y,_,5
2287,_,Y,_,_,_,_,_,_,_,4
2288,Y,X,_,X,X,Y,_,Y,_,2
2289,Y,_,_,_,_,_,_,_,_,4
2290,X,Y,X,_,Y,Y,Y,X,_,3
2291,Y,X,_,_,X,_,_,Y,_,6
2292,X,Y,X,Y,Y,X,_,X,Y,6
2293,X,_,Y,Y,X,X,Y,_,Y,7
2294,_,_,Y,_,_,_,_,_,_,0
2295,Y,X,Y,Y,X,_,_,_,X,6
2296,_,_,_,_,_,_,_,_,_,0
2297,X,Y,X,_,Y,_,Y,_,_,7
2298,X,Y,X,Y,Y,X,_,X,Y,6
2299,Y,X,Y,X,X,Y,X,Y,_,8
2300,_,X,_,_,Y,_,_,_,_,0
2301,_,_,_,_,_,_,_,_,_,0
2302,Y,_,X,_,Y,_,X,Y,X,1
2303,Y,_,X,_,X,_,Y,_,_,3
2304,X,_,Y,Y,Y,X,X,Y,_,1
2305,X,Y,X,Y,Y,_,_,X,_,5
2306,_,_,_,_,_,_,_,_,_,0
2307,Y,Y,_,X,X,Y,Y,X,_,2
2308,X,Y,_,_,Y,_,_,_,_,7
2309,X,X,Y,_,Y,_,_,_,_,6
2310,X,_,Y,_,X,_,Y,_,Y,5
2311,X,Y,X,_,Y,_,Y,_,_,7
2312,Y,X,Y,_,X,_,_,Y,_,3
2313,Y,X,Y,Y,X,_,X,Y,_,5
2314,_,_,_,_,_,_,_,_,_,0
2315,X,_,_,_,Y,_,_,_,_,2
2316,Y,X,_,X,Y,_,Y,_,X,2
2317,X,Y,_,Y,Y,X,X,X,Y,2
2318,X,_,_,_,Y,_,Y,_,_,2
2319,Y,_,Y,_,X,_,_,_,_,1
2320,X,_,Y,_,Y,_,_,_,_,6
2321,_,_,_,_,_,_,_,_,_,0
2322,_,_,_,_,Y,_,_,_,_,0
2323,X,_,Y,Y,Y,X,X,Y,_,1
2324,X,Y,_,_,Y,_,Y,X,_,2
2325,X,_,Y,Y,_,_,_,_,_,4
2326,_,_,_,_,Y,_,_,_,_,0
2327,_,_,_,_,_,_,_,_,_,0
2328,X,_,Y,_,Y,_,_,_,_,6
2329,X,_,_,_,Y,_,_,_,_,2
2330,Y,_,_,X,X,Y,_,_,_,1
2331,Y,_,X,_,X,_,Y,_,_,3
2332,X,Y,X,_,Y,Y,Y,X,_,3
2333,Y,X,Y,Y,X,_,X,Y,_,5
2334,Y,_,Y,_,X,_,X,_,_,1
2335,Y,X,Y,Y,X,_,X,Y,_,5
2336,Y,_,Y,_,X,_,_,_,_,1
2337,X,Y,X,X,Y,Y,Y,X,_,8
2338,X,X,Y,Y,Y,_,X,_,_,5
2339,Y,_,_,_,_,_,_,_,_,4
2340,_,_,X,_,Y,_,_,_,_,0
2341,Y,Y,X,X,X,Y,Y,_,_,7
2342,Y,Y,X,X,X,Y,Y,_,_,7
2343,_,_,_,_,_,_,_,_,Y,0
2344,_,_,_,_,_,_,_,_,_,0
2345,X,X,Y,Y,Y,_,X,_,_,5
2346,X,X,Y,Y,Y,X,X,Y,_,8
2347,X,Y,X,_,Y,Y,Y,X,_,3
2348,Y,X,Y,X,X,Y,X,Y,_,8
2349,X,X,Y,Y,Y,X,X,Y,_,8
2350,X,_,_,Y,Y,X,X,Y,_,1
2351,X,Y,X,X,Y,_,Y,_,_,7
2352,Y,X,X,X,X,Y,Y,Y,_,8
2353,Y,_,X,X,X,Y,Y,_,_,1
2354,X,Y,X,_,Y,Y,Y,X,_,3
2355,X,_,Y,_,Y,_,_,_,_,6
2356,_,_,_,X,Y,_,_,_,_,0
2357,X,_,Y,Y,Y,X,_,_,_,6
2358,X,Y,X,X,Y,Y,Y,X,_,8
2359,_,_,_,_,_,_,_,_,_,0
2360,X,Y,X,_,Y,_,Y,_,_,7
2361,_,X,_,Y,Y,_,_,_,X,2
2362,_,_,_,_,Y,_,_,_,_,0
2363,X,_,_,Y,Y,_,X,_,_,1
2364,X,Y,_,_,Y,_,_,_,_,7
2365,Y,_,_,_,X,_,_,_,_,2
2366,X,_,_,_,Y,_,_,_,_,2
2367,Y,_,X,_,X,_,Y,_,_,3
2368,X,_,_,Y,X,_,Y,_,Y,1
2369,Y,_,X,X,X,Y,Y,_,_,1
2370,Y,_,Y,_,X,_,X,_,_,1
2371,Y,X,Y,Y,X,_,_,_,_,6
2372,Y,_,_,_,X,_,_,_,_,2
2373,X,_,_,Y,Y,_,X,Y,_,1
2374,Y,_,_,_,X,_,Y,_,_,3
2375,Y,X,Y,_,X,_,_,Y,_,3
2376,_,_,_,_,_,_,_,_,_,0
2377,_,_,_,_,_,_,_,_,_,0
2378,Y,_,_,Y,X,_,_,_,_,6
2379,Y,_,_,_,_,_,_,_,_,4
2380,_,_,_,_,_,_,_,_,_,0
2381,Y,_,_,_,X,_,_,_,_,2
2382,Y,_,Y,_,X,_,X,_,_,1
2383,_,_,_,_,_,_,_,_,_,0
2384,X,_,_,_,Y,_,_,_,_,2
2385,X,Y,X,_,Y,_,Y,_,_,7
2386,Y,_,X,_,X,_,Y,_,_,3
2387,Y,_,Y,_,X,X,_,_,_,1
2388,X,_,_,Y,Y,_,X,_,_,1
2389,Y,X,Y,Y,X,_,X,Y,X,5
2390,Y,_,X,X,X,Y,Y,_,_,1
2391,X,_,_,Y,Y,_,X,_,_,1
2392,Y,_,_,_,_,_,_,_,_,4
2393,Y,_,_,_,X,_,_,_,_,2
2394,Y,Y,X,X,X,Y,Y,_,_,7
2395,X,Y,Y,X,X,_,Y,_,Y,5
2396,X,_,_,_,Y,_,Y,_,_,2
2397,X,_,Y,Y,Y,X,X,X,Y,1
2398,_,_,Y,_,_,_,_,_,_,0
2399,Y,Y,X,_,Y,X,X,_,_,8
2400,X,_,Y,Y,Y,_,X,_,_,5
2401,Y,X,Y,Y,X,X,_,Y,_,6
2402,Y,_,X,X,_,Y,Y,_,X,1
2403,_,_,_,_,_,_,_,_,_,0
2404,X,Y,X,_,Y,_,Y,_,_,7
2405,_,_,_,_,_,_,_,_,_,0
2406,_,_,_,_,Y,_,_,_,_,0
2407,Y,_,X,_,_,_,_,_,_,4
2408,Y,_,_,_,X,_,_,_,_,2
2409,Y,_,X,X,X,Y,Y,Y,_,8
2410,_,Y,_,_,_,_,_,_,_,4
2411,Y,X,_,_,X,_,_,Y,_,6
2412,_,_,_,_,_,_,_,_,_,0
2413,X,Y,X,_,Y,Y,Y,X,_,3
2414,_,_,_,_,_,_,_,_,_,0
2415,Y,_,X,_,Y,_,X,_,_,8
2416,Y,X,Y,Y,X,_,X,Y,_,5
2417,Y,Y,X,_,X,_,Y,_,_,3
2418,X,_,Y,Y,Y,X,X,X,Y,1
2419,X,Y,X,X,Y,_,Y,_,_,7
2420,X,_,_,_,Y,_,Y,_,_,2
2421,Y,Y,_,X,X,_,Y,_,_,2
2422,Y,_,_,_,X,_,_,_,_,2
2423,Y,Y,X,X,X,Y,Y,_,_,7
2424,X,Y,X,_,Y,_,_,_,_,3
2425,X,Y,_,_,Y,_,_,_,_,7
2426,Y,X,_,_,X,_,_,Y,_,6
2427,X,Y,_,Y,Y,X,X,_,_,7
2428,Y,X,Y,X,X,Y,X,Y,_,8
2429,_,_,_,_,_,_,_,_,_,0
2430,X,X,Y,Y,Y,_,X,_,_,5
2431,X,Y,X,_,Y,Y,Y,X,_,3
2432,Y,_,_,_,X,_,_,_,_,2
2433,_,_,_,_,_,_,_,_,_,0
2434,X,Y,_,Y,Y,X,X,_,_,7
2435,X,_,_,Y,Y,_,X,_,_,1
2436,Y,X,Y,X,X,Y,X,Y,_,8
2437,Y,_,X,_,_,_,Y,_,X,3
2438,X,Y,Y,Y,Y,X,X,_,_,7
2439,X,Y,X,Y,Y,X,_,X,Y,6
2440,_,_,_,_,_,_,_,_,_,0
2441,X,_,_,Y,Y,_,X,_,_,1
2442,X,Y,X,X,Y,_,Y,_,_,7
2443,_,_,_,_,_,_,_,_,_,0
2444,Y,_,_,X,X,Y,Y,_,_,7
2445,_,_,_,_,_,_,_,_,_,0
2446,X,_,_,Y,Y,_,_,_,_,5
2447,X,_,_,_,Y,_,Y,_,_,2
2448,Y,X,Y,_,X,_,X,Y,_,5
2449,Y,_,X,X,Y,_,_,Y,X,1
2450,Y,X,_,X,Y,Y,X,Y,X,2
2451,_,_,_,_,_,_,_,_,_,0
2452,Y,_,_,_,X,_,_,_,_,2
2453,_,Y,X,_,Y,_,_,_,X,7
2454,X,_,_,Y,Y,_,X,_,_,1
2455,_,_,_,_,_,_,_,_,_,0
2456,Y,Y,_,X,X,_,_,_,_,2
2457,X,_,Y,_,_,_,Y,_,_,4
2458,Y,Y,_,X,X,_,Y,_,_,2
2459,Y,_,_,_,_,_,_,_,_,4
2460,Y,X,X,X,Y,Y,Y,_,X,7
2461,Y,_,_,X,X,Y,Y,_,_,7
2462,Y,Y,X,_,X,_,Y,_,_,3
2463,Y,_,X,_,X,_,Y,_,_,3
2464,_,_,_,_,_,_,_,_,_,0
2465,_,_,_,X,Y,_,_,_,_,0
2466,X,Y,X,_,Y,Y,Y,X,_,3
2467,_,_,_,_,X,_,Y,Y,_,3
2468,Y,_,_,_,X,_,Y,_,_,3
2469,X,Y,X,_,Y,Y,Y,X,_,3
2470,X,Y,Y,_,X,_,_,_,Y,3
2471,X,X,Y,Y,Y,_,X,_,_,5
2472,_,_,_,_,_,_,_,_,_,0
2473,X,_,Y,Y,Y,_,X,_,_,5
2474,_,_,_,_,_,_,_,_,_,0
2475,X,Y,_,Y,Y,X,X,X,Y,2
2476,_,_,Y,_,_,_,_,_,_,0
2477,X,Y,X,X,Y,_,Y,X,Y,5
2478,Y,_,X,_,_,_,_,_,_,4
2479,Y,X,Y,Y,X,X,_,Y,_,6
2480,_,_,_,_,_,_,_,_,Y,0
2481,X,_,_,_,Y,_,_,_,_,2
2482,X,Y,X,Y,Y,_,_,_,_,5
2483,X,Y,_,Y,Y,X,X,X,Y,2
2484,X,_,_,Y,Y,X,X,Y,_,1
2485,_,_,_,Y,Y,_,X,_,X,5
2486,X,_,Y,Y,Y,_,X,_,_,5
2487,Y,Y,X,X,X,Y,Y,X,_,8
2488,Y,_,_,_,X,_,_,_,_,2
2489,Y,_,Y,_,X,_,X,_,_,1
2490,X,Y,_,_,_,_,Y,_,_,4
2491,X,Y,Y,Y,Y,X,X,_,_,7
2492,Y,Y,_,_,X,_,_,X,_,2
2493,X,_,_,X,Y,_,Y,_,_,2
2494,X,_,_,_,Y,_,_,_,_,2
2495,Y,Y,X,X,X,Y,Y,_,_,7
2496,Y,X,X,_,Y,Y,X,Y,X,3
2497,Y,_,X,X,Y,_,_,Y,X,1
2498,X,Y,X,_,Y,_,_,_,_,3
2499,X,Y,X,Y,Y,_,Y,X,_,5
2500,Y,X,_,_,_,_,_,_,_,4
2501,X,_,_,_,Y,_,_,_,_,2
2502,_,_,_,X,Y,_,_,_,_,0
2503,_,_,_,_,_,_,_,_,_,0
2504,_,Y,_,_,_,_,_,_,_,4
2505,X,Y,X,Y,Y,X,_,X,Y,6
2506,X,Y,_,X,Y,_,Y,_,_,2
2507,_,_,_,_,_,_,_,_,_,0
2508,X,Y,X,X,Y,_,Y,_,_,7
2509,_,Y,_,_,_,_,_,_,_,4
2510,X,_,_,Y,Y,X,X,Y,_,1
2511,Y,_,X,X,X,Y,Y,_,_,1
2512,_,_,_,_,_,_,_,_,_,0
2513,X,Y,X,_,_,Y,Y,X,Y,3
2514,X,_,_,Y,Y,_,X,_,_,1
2515,_,_,_,_,_,_,_,_,_,0
2516,X,_,Y,Y,Y,_,X,_,_,5
2517,X,_,_,_,Y,_,_,_,_,2
2518,Y,_,_,_,_,_,_,_,_,4
2519,X,Y,Y,Y,Y,X,X,_,_,7
2520,_,_,_,_,_,_,_,_,_,0
2521,X,Y,X,X,Y,_,Y,_,_,7
2522,X,X,Y,Y,Y,X,X,Y,_,8
2523,_,Y,_,_,X,_,_,_,Y,3
2524,X,_,_,_,Y,_,_,_,_,2
2525,Y,_,Y,Y,X,_,X,_,_,1
2526,Y,_,_,_,_,_,_,_,_,4
2527,Y,_,Y,_,X,_,_,_,_,1
2528,Y,_,Y,_,X,_,_,_,_,1
2529,X,_,_,_,Y,_,Y,_,_,2
2530,Y,X,_,_,Y,Y,X,_,X,3
2531,Y,_,_,_,X,_,Y,_,_,3
2532,X,_,_,_,Y,_,_,_,_,2
2533,_,_,_,_,Y,_,_,_,_,0
2534,_,_,_,_,_,_,_,_,_,0
2535,Y,_,X,_,Y,_,X,Y,X,1
2536,X,X,Y,Y,Y,_,X,_,_,5
2537,X,Y,X,X,Y,_,Y,_,_,7
2538,X,Y,X,X,Y,Y,Y,X,_,8
2539,Y,_,_,_,X,_,_,_,_,2
2540,X,Y,X,_,Y,_,Y,_,_,7
2541,X,_,Y,Y,Y,_,X,_,_,5
2542,X,Y,X,_,Y,_,_,_,_,3
2543,_,_,_,_,_,_,_,_,_,0
2544,_,_,_,X,Y,_,_,_,_,0
2545,_,_,_,_,_,_,_,_,_,0
2546,_,_,_,_,_,_,Y,_,_,0
2547,Y,_,_,_,_,_,_,_,_,4
2548,X,X,Y,Y,Y,X,X,Y,_,8
2549,_,_,_,_,_,_,_,_,_,0
2550,X,X,Y,Y,Y,X,X,Y,_,8
2551,Y,X,Y,X,X,Y,X,Y,_,8
2552,X,X,Y,Y,Y,X,X,Y,_,8
2553,_,_,_,_,_,_,_,_,_,0
2554,Y,X,Y,Y,X,_,X,Y,_,5
2555,_,Y,X,_,Y,_,_,_,X,7
2556,Y,_,_,_,X,_,_,_,_,2
2557,X,_,Y,_,X,_,Y,_,Y,5
2558,X,Y,_,Y,Y,X,Y,X,_,2
2559,_,_,_,_,Y,_,_,_,_,0
2560,Y,_,X,_,Y,Y,X,_,X,3
2561,_,_,_,_,_,_,_,_,_,0
2562,Y,_,X,_,X,_,Y,Y,_,3
2563,X,Y,X,Y,Y,_,Y,X,_,5
2564,Y,Y,X,_,X,_,Y,_,_,3
2565,Y,_,_,_,_,_,_,_,_,4
2566,X,Y,X,Y,Y,X,Y,_,_,7
2567,Y,_,_,X,X,Y,_,_,_,1
